[2023-08-08 11:23:57.317299] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; command: /start
[2023-08-08 11:23:59.974708] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: main_menu
[2023-08-08 11:24:04.341066] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: mm_okay
[2023-08-08 11:26:28.860428] ID: 641529661; ADMIN: False; USER_NAME: akrrrrr; command: /start
[2023-08-08 11:26:31.804599] ID: 641529661; ADMIN: False; USER_NAME: akrrrrr; callback: uch_mat_02
[2023-08-08 11:26:41.273419] ID: 896148776; ADMIN: False; USER_NAME: youngboyforever; command: /start
[2023-08-08 11:26:44.749802] ID: 896148776; ADMIN: False; USER_NAME: youngboyforever; callback: main_menu
[2023-08-08 11:27:59.511893] ID: 896148776; ADMIN: False; USER_NAME: youngboyforever; callback: mm_okay
[2023-08-08 13:11:15.411599] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: mm_date
[2023-08-08 13:11:19.206402] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: main_menu
[2023-08-08 13:11:20.566727] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: mm_date
[2023-08-08 13:11:21.607308] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: main_menu
[2023-08-08 13:11:24.924197] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: mm_date
[2023-08-08 13:11:25.908795] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: main_menu
[2023-08-08 13:11:26.943083] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: mm_date
[2023-08-08 13:11:27.845148] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; callback: main_menu
[2023-08-08 14:02:21.439669] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db all
[2023-08-08 14:02:21.502779] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 14:02:38.177870] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 15:21:15.676274] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db
[2023-08-08 15:21:15.685880] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_date
[2023-08-08 15:21:23.195229] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rk_cnl
[2023-08-08 16:23:08.239300] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 21:44:13.102079] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /del 1023832280
[2023-08-08 21:44:22.881461] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /sch Вы УДАЛИЛИ Nikita из системы ID пользователя: 1023832280
[2023-08-08 21:44:28.283020] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 21:44:33.884117] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg 1023832280 Nikita SkyFall_77
[2023-08-08 22:33:39.000820] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /start
[2023-08-08 22:33:40.875585] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-08 22:33:43.339900] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-08 22:33:45.068624] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-08 22:33:50.200670] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_02
[2023-08-08 22:33:51.153270] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: book_sem_02
[2023-08-08 22:33:52.098246] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_02
[2023-08-08 22:33:52.795871] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-09 10:05:35.927336] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-09 10:05:38.435535] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-09 10:05:39.720079] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
